CHEMONTID:0000000	Organic compounds
CHEMONTID:0001177	Sulfinic acid halides
CHEMONTID:0001178	Organosulfonic acid esters
CHEMONTID:0001179	Organosulfonic acids
CHEMONTID:0001180	Organic sulfuric acids
CHEMONTID:0001181	Sulfuric acid monoamides
CHEMONTID:0001182	Corroles
CHEMONTID:0001183	Sulfuric acid diamides
CHEMONTID:0001184	Sulfuric acid diesters
CHEMONTID:0001185	Sulfuric acid monoesters
CHEMONTID:0001186	Sulfuric acid amide esters
CHEMONTID:0001187	Thioacetals
CHEMONTID:0001188	Thioaldehydes
CHEMONTID:0001189	N-acyl-alpha amino acids and derivatives
CHEMONTID:0001190	Thiocarbamic acid esters
CHEMONTID:0001191	Thiocarbamic acid halides
CHEMONTID:0001192	Carbamic acid halides
CHEMONTID:0001193	Organic thiocarbonic acids
CHEMONTID:0001194	Oxosteroids
CHEMONTID:0001195	Thiocarbonic acid ester halides
CHEMONTID:0001196	Thiocarbonic acid monoesters
CHEMONTID:0001197	Thiocarbonic acid diesters
CHEMONTID:0001198	Thiocarbonyl compounds
CHEMONTID:0001199	Thiocarboxylic acids
CHEMONTID:0001200	Thioesters
CHEMONTID:0001201	Thiocyanates
CHEMONTID:0001202	Thioethers
CHEMONTID:0001203	Phenyldithiazolethiones
CHEMONTID:0001204	Organic phosphoramides
CHEMONTID:0001205	Carboxylic acids
CHEMONTID:0001206	Organic phosphoric acid halides
CHEMONTID:0001207	Thiosemicarbazides
CHEMONTID:0001208	Thiosemicarbazones
CHEMONTID:0001209	Thioureas
CHEMONTID:0001210	Ynamines
CHEMONTID:0001211	Dihydropyranones
CHEMONTID:0001212	Alkylthiols
CHEMONTID:0001213	Pyridoindoles
CHEMONTID:0001214	Thiolactones
CHEMONTID:0001215	Heterocyclic diaryl ethers
CHEMONTID:0001216	Homocyclic diaryl ethers
CHEMONTID:0001217	Diphenyltetrazoles and derivatives
CHEMONTID:0001218	Inorganic isocyanides
CHEMONTID:0001219	Organic thiophosphoric acids
CHEMONTID:0001220	Benzyl cyanides
CHEMONTID:0001221	Precorrins
CHEMONTID:0001222	Organic perrhenates
CHEMONTID:0001223	Alpha-diketones
CHEMONTID:0001224	N-carbamoyl-alpha amino acids and derivatives
CHEMONTID:0001225	Aminoimidazoles
CHEMONTID:0001226	Imidazole carboxylic acids and derivatives
CHEMONTID:0001227	Imidazolyl carboxylic acids and derivatives
CHEMONTID:0001228	Pteroic acids and derivatives
CHEMONTID:0001229	Nitrosoureas
CHEMONTID:0001230	Thiocarboxylic acid amides
CHEMONTID:0001231	Isoureas
CHEMONTID:0001232	Isothioureas
CHEMONTID:0001233	Cardiolipins
CHEMONTID:0001234	Isothiocyanates
CHEMONTID:0001235	Organosulfenic acids
CHEMONTID:0001236	Orthocarboxylic acid derivatives
CHEMONTID:0001237	Carboxylic acid orthoesters
CHEMONTID:0001238	Carboxylic acid esters
CHEMONTID:0001239	Carboxylic acid azides
CHEMONTID:0001240	Carboxylic acid anhydrides
CHEMONTID:0001241	Caprolactones
CHEMONTID:0001242	Phenylthiazoles
CHEMONTID:0001243	Beta propiolactones
CHEMONTID:0001244	Delta valerolactones
CHEMONTID:0001245	Gamma butyrolactones
CHEMONTID:0001246	Metalloid plumbites
CHEMONTID:0001247	Organic fluorophosphonic acids and derivatives
CHEMONTID:0001248	Hydroxybenzoic acid derivatives
CHEMONTID:0001249	Flavins
CHEMONTID:0001250	Phosphocholines
CHEMONTID:0001251	Gallic acid and derivatives
CHEMONTID:0001252	Indole-3-acetic acid derivatives
CHEMONTID:0001253	Quinolines and derivatives
CHEMONTID:0001254	1Z-alkenylglycero-3-phosphates
CHEMONTID:0001255	Imidazole carboxamides
CHEMONTID:0001256	CDP-diacylglycerols
CHEMONTID:0001257	Phenylacetaldehydes
CHEMONTID:0001258	Neuraminic acids and derivatives
CHEMONTID:0001259	Organic bromates
CHEMONTID:0001260	Organic chlorates
CHEMONTID:0001261	Organic chlorites
CHEMONTID:0001262	Aminopyrimidines and derivatives
CHEMONTID:0001263	CDP-glycerols
CHEMONTID:0001264	CDP-monoacylglycerols
CHEMONTID:0001265	N-sulfinylhydrazines
CHEMONTID:0001266	Phosphoethanolamines
CHEMONTID:0001267	Aldimines
CHEMONTID:0001268	Nicotinamide nucleotides
CHEMONTID:0001269	Sulfinic acids
CHEMONTID:0001270	Miscellaneous mixed metal/non-metals
CHEMONTID:0001271	Thiodiacetic acid derivatives
CHEMONTID:0001272	Cresols
CHEMONTID:0001273	Meta cresols
CHEMONTID:0001274	Ortho cresols
CHEMONTID:0001275	Para cresols
CHEMONTID:0001276	Phenylpyruvic acid derivatives
CHEMONTID:0001277	Carotenoids
CHEMONTID:0001278	Organic chromates
CHEMONTID:0001279	Sulfur mustard compounds
CHEMONTID:0001280	Alpha ketoaldehydes
CHEMONTID:0001281	Decamethonium compounds
CHEMONTID:0001282	Hexamethonium compounds
CHEMONTID:0001283	Terpene lactones
CHEMONTID:0001284	Strigolactones
CHEMONTID:0001285	Thiamines
CHEMONTID:0001286	Benzenediols
CHEMONTID:0001287	Thiamine phosphates
CHEMONTID:0001288	Dialkylglycerophosphates
CHEMONTID:0001289	Dialkylglycerol-3-phosphocholines
CHEMONTID:0001290	Indolyl carboxylic acids and derivatives
CHEMONTID:0001291	Pyranoquinolines
CHEMONTID:0001292	Cyclic alcohols and derivatives
CHEMONTID:0001293	Purine nucleotide sugars
CHEMONTID:0001294	Polyprenylbenzoquinones
CHEMONTID:0001295	Hydroxysteroids
CHEMONTID:0001296	Pyrimidine nucleotide sugars
CHEMONTID:0001297	Pyridine nucleotides
CHEMONTID:0001298	1-acyl,2-alkylglycerophosphoglycerols
CHEMONTID:0001299	1,2-diacylglycerol-3-phosphates
CHEMONTID:0001300	Nicotinic acid nucleotides
CHEMONTID:0001301	Alkynes
CHEMONTID:0001302	Organic phosphonic acids
CHEMONTID:0001303	Organic thiophosphoric acids and derivatives
CHEMONTID:0001304	Brevetoxins and derivatives
CHEMONTID:0001306	Organic isocyanides
CHEMONTID:0001307	Organic chromites
CHEMONTID:0001308	Organic hydroperoxides
CHEMONTID:0001309	Organophosphine oxides
CHEMONTID:0001310	Benzenetriols and derivatives
CHEMONTID:0001311	Isoprenoid phosphates
CHEMONTID:0001312	1,2-dioxanes
CHEMONTID:0001313	1,4-dioxanes
CHEMONTID:0001314	1,3-dioxanes
CHEMONTID:0001315	1,2-dioxolanes
CHEMONTID:0001316	1,3-dioxolanes
CHEMONTID:0001317	Transition metal ferrates
CHEMONTID:0001318	Hippuric acids
CHEMONTID:0001319	Pyrimidinecarboxylic acids and derivatives
CHEMONTID:0001320	Lysophosphatidic acids
CHEMONTID:0001321	Pyrimidinecarboxamides
CHEMONTID:0001322	Pyridinecarboxylic acids and derivatives
CHEMONTID:0001323	Pyrrolizidinones
CHEMONTID:0001324	Phosphatidylinositol monophosphates
CHEMONTID:0001325	Quinolizidinones
CHEMONTID:0001326	Pyridinecarboxamides
CHEMONTID:0001327	Triazolidinones
CHEMONTID:0001328	3-oxo-acyl CoAs
CHEMONTID:0001329	Flavin nucleotides
CHEMONTID:0001330	Lysophosphatidylinositol monophosphates
CHEMONTID:0001331	Benzoins
CHEMONTID:0001332	Indolizidinones
CHEMONTID:0001333	Inorganic sulfuryl halides
CHEMONTID:0001334	Fatty alcohols
CHEMONTID:0001335	1,2-diazepines
CHEMONTID:0001336	1,4-diazepines
CHEMONTID:0001337	1,3-diazepines
CHEMONTID:0001338	1,2-oxazepines
CHEMONTID:0001339	1,4-oxazepines
CHEMONTID:0001340	1,3-oxazepines
CHEMONTID:0001341	1,3-oxazines
CHEMONTID:0001342	1,4-oxazines
CHEMONTID:0001343	1,2-oxazines
CHEMONTID:0001344	Phosphatidylinositols
CHEMONTID:0001345	Benzaldehydes
CHEMONTID:0001346	Diazines
CHEMONTID:0001347	1,3-thiazines
CHEMONTID:0001348	1,2-thiazines
CHEMONTID:0001349	1,4-thiazines
CHEMONTID:0001350	Benzoic acid esters
CHEMONTID:0001351	Acyclic triterpenoids
CHEMONTID:0001352	Meta thiazepines
CHEMONTID:0001353	Ortho thiazepines
CHEMONTID:0001354	Para thiazepines
CHEMONTID:0001355	Lysophosphatidylinositols
CHEMONTID:0001356	Trioses
CHEMONTID:0001357	Acyclic diterpenoids
CHEMONTID:0001358	Phosphatidylglycerols
CHEMONTID:0001359	Alpha hydroxy acids and derivatives
CHEMONTID:0001360	Intermetallic alkali metal compounds
CHEMONTID:0001361	Anthocyanins
CHEMONTID:0001362	Flavanonols
CHEMONTID:0001363	Enones
CHEMONTID:0001364	Organic hydroxides
CHEMONTID:0001365	Alkaline earth metal chromites
CHEMONTID:0001366	Sugar amino acids and derivatives
CHEMONTID:0001367	Phosphatidylserines
CHEMONTID:0001368	Thiocarbamic acid derivatives
CHEMONTID:0001369	Boronic acid esters
CHEMONTID:0001370	Organometalloid compounds
CHEMONTID:0001371	Organotransition metal compounds
CHEMONTID:0001372	Organo-alkali-metal compounds
CHEMONTID:0001373	Ynones
CHEMONTID:0001374	Pyridoindolones
CHEMONTID:0001375	Cyanohydrins
CHEMONTID:0001376	Beta ketoaldehydes
CHEMONTID:0001377	Lysophosphatidylserines
CHEMONTID:0001378	Chlorinated dibenzofurans
CHEMONTID:0001379	Benzo-p-dioxins
CHEMONTID:0001380	N-acyl-alpha-hexosamine-1-phosphates
CHEMONTID:0001381	Dibenzo-p-dioxins
CHEMONTID:0001382	Benzo-o-dioxins
CHEMONTID:0001383	Benzo-m-dioxins
CHEMONTID:0001384	Dioxins
CHEMONTID:0001385	Ortho dioxins
CHEMONTID:0001386	Para dioxins
CHEMONTID:0001387	Sultims
CHEMONTID:0001388	Glucuronosphingolipids
CHEMONTID:0001389	Neoflavones
CHEMONTID:0001390	Colchicines
CHEMONTID:0001391	Hydroxycinnamic acids and derivatives
CHEMONTID:0001392	Lignans, neolignans and related compounds
CHEMONTID:0001393	Phosphatidylethanolamines
CHEMONTID:0001394	Ceramide phosphoethanolamines
CHEMONTID:0001395	1-alkyl,2-acyl-glycerol-3-phosphoserines
CHEMONTID:0001396	Benzoxazines
CHEMONTID:0001397	1-(1Z-alkenyl),2-acyl-glycerophosphates
CHEMONTID:0001398	Non-metal bisulfites
CHEMONTID:0001399	Ceramide phosphoinositols
CHEMONTID:0001400	Organic nitrosamines
CHEMONTID:0001401	Menthane monoterpenoids
CHEMONTID:0001402	Imidazolinones
CHEMONTID:0001403	Ergosterols and derivatives
CHEMONTID:0001404	1-alkyl,2-acylglycerophosphates
CHEMONTID:0001405	Lysophosphatidylethanolamines
CHEMONTID:0001406	Monoalkylglycerophosphates
CHEMONTID:0001407	1-(1Z-alkenyl),2-acylglycerophosphoserines
CHEMONTID:0001408	Phosphatidylcholines
CHEMONTID:0001409	1-acyl,2-alkylglycerophosphoethanolamines
CHEMONTID:0001410	Xanthophylls
CHEMONTID:0001411	Carotenes
CHEMONTID:0001412	1-phosphoribosyl-imidazoles
CHEMONTID:0001413	Lysophosphatidylcholines
CHEMONTID:0001414	Monoalkylglycerophosphocholines
CHEMONTID:0001415	Medium-chain keto acids and derivatives
CHEMONTID:0001416	Short-chain keto acids and derivatives
CHEMONTID:0001417	1-phosphoribosyl-imidazolecarboxamides
CHEMONTID:0001418	Ceramides
CHEMONTID:0001419	Neutral glycosphingolipids
CHEMONTID:0001420	1-ribosyl-imidazolecarboxamides
CHEMONTID:0001421	Glycidol esters
CHEMONTID:0001422	Other hydroxyeicosapolyenoic acids
CHEMONTID:0001423	Thia fatty acids
CHEMONTID:0001424	Lysosphingomyelins and lysoglycosphingolipids
CHEMONTID:0001425	Sulfated fatty acids
CHEMONTID:0001426	Pyrophosphatidic acids
CHEMONTID:0001427	Phosphoceramides
CHEMONTID:0001428	Simple glycosylceramides
CHEMONTID:0001429	GalNAcb1-3Gala1-4Galb1-4Glc- (Globo series)
CHEMONTID:0001430	GalNAcb1-4GlcNAcb1-3Manb1-4Glc- (Arthro series)
CHEMONTID:0001431	Galb1-3GlcNAcb1-3Galb1-4Glc- (Lacto series)
CHEMONTID:0001432	Galb1-4GlcNAcb1-3Galb1-4Glc- (Neolacto series)
CHEMONTID:0001433	GalNAcb1-3Gala1-3Galb1-4Glc- (Isoglobo series)
CHEMONTID:0001434	Betacyanins and derivatives
CHEMONTID:0001435	Betalains
CHEMONTID:0001436	GlcNAcb1-2Mana1-3Manb1-4Glc- (Mollu series)
CHEMONTID:0001437	Benzoxazinones
CHEMONTID:0001438	Organothiophosphorus compounds
CHEMONTID:0001439	Gangliosides
CHEMONTID:0001440	Sulfatides
CHEMONTID:0001441	Alpha-amino acyl ester of carbohydrates
CHEMONTID:0001442	Other mixed metal/non-metal oxoanionic compounds
CHEMONTID:0001443	Triazolopyrimidines
CHEMONTID:0001444	Organic hypobromites
CHEMONTID:0001445	Bile acids, alcohols and derivatives
CHEMONTID:0001446	Thienoimidazolidines
CHEMONTID:0001447	Steroid glucuronide conjugates
CHEMONTID:0001448	Furoic acids
CHEMONTID:0001449	Intermetallic alkaline earth metal compounds
CHEMONTID:0001450	Intermetallic lanthanide compounds
CHEMONTID:0001451	Intermetallic actinide compounds
CHEMONTID:0001452	Intermetallic metalloid compounds
CHEMONTID:0001453	Intermetallic transition metal compounds
CHEMONTID:0001454	Intermetallic post-transition metal compounds
CHEMONTID:0001455	Tetrapyrroles and derivatives
CHEMONTID:0001456	Cephams
CHEMONTID:0001457	Penems
CHEMONTID:0001458	Cephamycins
CHEMONTID:0001459	Glycosylglycerophospholipids
CHEMONTID:0001460	Vitamin D and derivatives
CHEMONTID:0001461	Pyrethroids
CHEMONTID:0001462	Mannosylerythritol lipids
CHEMONTID:0001463	3-(3-hydroxyalkanoyloxy)alkanoic acids
CHEMONTID:0001464	4-hydroxy-2-alkylquinolines
CHEMONTID:0001465	Anatoxins
CHEMONTID:0001466	Estrane steroids
CHEMONTID:0001467	Androgens and derivatives
CHEMONTID:0001468	Gluco/mineralocorticoids, progestogins and derivatives
CHEMONTID:0001469	Cholesterols and derivatives
CHEMONTID:0001470	Miscellaneous metallic oxoanionic compounds
CHEMONTID:0001471	Miscellaneous aluminates
CHEMONTID:0001472	Miscellaneous antimonates
CHEMONTID:0001473	Miscellaneous antimonites
CHEMONTID:0001474	Miscellaneous arsenates
CHEMONTID:0001475	Miscellaneous arsenites
CHEMONTID:0001476	Miscellaneous borates
CHEMONTID:0001477	Miscellaneous ferrates
CHEMONTID:0001478	Miscellaneous manganates
CHEMONTID:0001479	Miscellaneous molybdates
CHEMONTID:0001480	Miscellaneous plumbates
CHEMONTID:0001481	Miscellaneous plumbites
CHEMONTID:0001482	Miscellaneous silicates
CHEMONTID:0001483	Miscellaneous stannates
CHEMONTID:0001484	Miscellaneous stannites
CHEMONTID:0001485	Miscellaneous tellurates
CHEMONTID:0001486	Miscellaneous tellurites
CHEMONTID:0001487	Miscellaneous tetrahydroxyborates
CHEMONTID:0001488	Miscellaneous tungstates
CHEMONTID:0001489	Miscellaneous orthovanadates
CHEMONTID:0001490	Cholesteryl esters
CHEMONTID:0001491	Cyclic purine nucleotides
CHEMONTID:0001492	Cyclic pyrimidine nucleotides
CHEMONTID:0001493	Epibatidine analogues
CHEMONTID:0001494	2',3'-cyclic purine nucleotides
CHEMONTID:0001495	2',3'-cyclic pyrimidine nucleotides
CHEMONTID:0001496	Tetroses
CHEMONTID:0001497	Pentoses
CHEMONTID:0001498	Hexoses
CHEMONTID:0001499	Heptoses
CHEMONTID:0001500	Octoses
CHEMONTID:0001501	Nonoses
CHEMONTID:0001502	3',5'-cyclic purine nucleotides
CHEMONTID:0001503	3',5'-cyclic pyrimidine nucleotides
CHEMONTID:0001504	Diacylglycerophosphates
CHEMONTID:0001505	6-oxopurines
CHEMONTID:0001506	Purine nucleotides
CHEMONTID:0001507	Thiocarbamic acids
CHEMONTID:0001508	Organic oxoazanium compounds
CHEMONTID:0001509	Pyrimidine nucleotides
CHEMONTID:0001510	Lignan lactones
CHEMONTID:0001511	Lignan glycosides
CHEMONTID:0001512	Other glycerolipids
CHEMONTID:0001513	Quinoline-3-sulfonamides
CHEMONTID:0001514	Organoastatides
CHEMONTID:0001515	Organobromides
CHEMONTID:0001516	Organochlorides
CHEMONTID:0001517	Organofluorides
CHEMONTID:0001518	Organoiodides
CHEMONTID:0001519	Acyl astatides
CHEMONTID:0001520	Organic nitrosonium compounds
CHEMONTID:0001521	Organic carbonic acids
CHEMONTID:0001522	Acyltrehaloses
CHEMONTID:0001523	Organo-post-transition metal compounds
CHEMONTID:0001524	Organotin compounds
CHEMONTID:0001525	Other hydroperoxyeicosapolyenoic acids
CHEMONTID:0001526	Organic hypochlorites
CHEMONTID:0001527	Diphenylacetonitriles
CHEMONTID:0001528	Furanoid fatty acids
CHEMONTID:0001529	Organoaluminium compounds
CHEMONTID:0001530	Benzonitriles
CHEMONTID:0001531	Urofuranic acids
CHEMONTID:0001532	Difurocoumarocyclopentenones
CHEMONTID:0001533	Difurocoumarolactones
CHEMONTID:0001534	Quinone and hydroquinone lipids
CHEMONTID:0001535	Polyprenols
CHEMONTID:0001536	Difurocoumarins
CHEMONTID:0001537	Epoxy fatty acids
CHEMONTID:0001538	Diterpene lactones
CHEMONTID:0001539	Polysaccharides
CHEMONTID:0001540	Monosaccharides
CHEMONTID:0001541	Monosaccharide phosphates
CHEMONTID:0001542	Disaccharides
CHEMONTID:0001543	Sesquiterpene lactones
CHEMONTID:0001544	Purine ribonucleotides
CHEMONTID:0001545	Ubiquinones
CHEMONTID:0001546	Vitamin E compounds
CHEMONTID:0001547	Vitamin K compounds
CHEMONTID:0001548	Alpha-halocarboxylic acids and derivatives
CHEMONTID:0001549	Monoterpenoids
CHEMONTID:0001550	Sesquiterpenoids
CHEMONTID:0001551	Diterpenoids
CHEMONTID:0001552	Sesterterpenoids
CHEMONTID:0001553	Triterpenoids
CHEMONTID:0001554	Tetraterpenoids
CHEMONTID:0001555	Cardenolides and derivatives
CHEMONTID:0001556	1,3-diacylglycerol-2-phosphates
CHEMONTID:0001557	Bufanolides and derivatives
CHEMONTID:0001558	Bufanolide glycosides and derivatives
CHEMONTID:0001559	Cardenolide glycosides and derivatives
CHEMONTID:0001560	Withanolides and derivatives
CHEMONTID:0001561	Withanolide glycosides and derivatives
CHEMONTID:0001562	Dihydropyridinecarboxylic acids and derivatives
CHEMONTID:0001563	Monocyclic monoterpenoids
CHEMONTID:0001564	Bicyclic monoterpenoids
CHEMONTID:0001565	Iridoids and derivatives
CHEMONTID:0001566	Enynes
CHEMONTID:0001567	Pumiliotoxins, homopumiliotoxins, and allopumiliotoxins
CHEMONTID:0001568	Miscellaneous inorganic compounds
CHEMONTID:0001569	Inorganic phosphorotrithioic acids and derivatives
CHEMONTID:0001570	Organophosphorotrithioic acids and derivatives
CHEMONTID:0001571	Organic thiophosphoric acid amides
CHEMONTID:0001572	Thiophosphoric acid esters
CHEMONTID:0001573	Organic thiophosphoric acid halides
CHEMONTID:0001574	Organic phosphoric acids
CHEMONTID:0001575	Retinoid esters
CHEMONTID:0001576	Allylic alcohols
CHEMONTID:0001577	Organic hyponitrites
CHEMONTID:0001578	Benzofuranones
CHEMONTID:0001579	Quinodimethanes
CHEMONTID:0001580	Triterpene glycosides
CHEMONTID:0001581	Piperidinones
CHEMONTID:0001582	Piperidinediones
CHEMONTID:0001583	Flavonoid O-glycosides
CHEMONTID:0001584	Catechins
CHEMONTID:0001585	Organosulfonamides
CHEMONTID:0001586	Biflavonoids and polyflavonoids
CHEMONTID:0001587	Catechin gallates
CHEMONTID:0001588	N-epsilon-acyl lysines
CHEMONTID:0001589	Organic hypophosphites
CHEMONTID:0001590	Organic iodates
CHEMONTID:0001591	Inorganic sulfuryl bromides
CHEMONTID:0001592	Pterofurans
CHEMONTID:0001593	Bilirubins
CHEMONTID:0001594	Epigallocatechins
CHEMONTID:0001595	Spatane and 4,10-secospatane diterpenoids
CHEMONTID:0001596	Acyclic sesterterpenoids
CHEMONTID:0001597	1-monoacylglycerols
CHEMONTID:0001598	Hydroxyanthraquinones
CHEMONTID:0001599	Disaccharide phosphates
CHEMONTID:0001600	Anthraquinone glycosides
CHEMONTID:0001601	Cyclosporins
CHEMONTID:0001602	M-quinodimethanes
CHEMONTID:0001603	2-monoacylglycerols
CHEMONTID:0001604	Tetrahydrofuran lignans
CHEMONTID:0001605	Carbonyl hydrates
CHEMONTID:0001606	Retinoids
CHEMONTID:0001607	Rotenoids
CHEMONTID:0001608	Pterocarpans
CHEMONTID:0001609	Carnitines
CHEMONTID:0001610	Arylnaphthalene lignans
CHEMONTID:0001611	Carbonic acid diesters
CHEMONTID:0001612	Isoflavans
CHEMONTID:0001613	Dibenzylbutyrolactone lignans
CHEMONTID:0001614	Neoflavonoids
CHEMONTID:0001615	Flavones
CHEMONTID:0001616	Transition metal nitrites
CHEMONTID:0001617	Purine ribonucleoside monophosphates
CHEMONTID:0001618	Purine ribonucleoside diphosphates
CHEMONTID:0001619	Purine ribonucleoside triphosphates
CHEMONTID:0001620	Pyrimidine ribonucleoside monophosphates
CHEMONTID:0001621	Pyrimidine ribonucleoside diphosphates
CHEMONTID:0001622	Pyrimidine ribonucleoside triphosphates
CHEMONTID:0001623	Dibenzocyclooctadiene lignans
CHEMONTID:0001624	Dibenzylbutanediol lignans
CHEMONTID:0001625	1-aryltetralin lactones
CHEMONTID:0001626	Phenanthrolines
CHEMONTID:0001627	Purine ribonucleoside polyphosphates
CHEMONTID:0001628	Pyrimidine ribonucleoside polyphosphates
CHEMONTID:0001629	Benzopyrazoles
CHEMONTID:0001630	Chalcones and dihydrochalcones
CHEMONTID:0001631	Aurone flavonoids
CHEMONTID:0001632	Flavanones
CHEMONTID:0001633	Homoisoflavones
CHEMONTID:0001634	Naphthofurans
CHEMONTID:0001635	Pyridoxal 5'-phosphates
CHEMONTID:0001636	Inorganic sulfuryl chlorides
CHEMONTID:0001637	Serotonins
CHEMONTID:0001638	1-acyl-sn-glycero-3-phosphocholines
CHEMONTID:0001639	Tetrodotoxins
CHEMONTID:0001640	Naphthopyrans
CHEMONTID:0001641	Naphthopyranones
CHEMONTID:0001642	Inorganic sulfuryl fluorides
CHEMONTID:0001643	2-acyl-sn-glycero-3-phosphocholines
CHEMONTID:0001644	1,2-diacylglycerols
CHEMONTID:0001645	Depsides and depsidones
CHEMONTID:0001646	Naphthopyranone glycosides
CHEMONTID:0001647	1,3-diacylglycerols
CHEMONTID:0001648	Tyrosol esters
CHEMONTID:0001649	Isochromanequinones
CHEMONTID:0001650	Tropones
CHEMONTID:0001651	Biopterins and derivatives
CHEMONTID:0001652	Carbonic acid ester halides
CHEMONTID:0001653	Long-chain fatty acyl CoAs
CHEMONTID:0001654	Benzyl esters
CHEMONTID:0001655	Carbonic acid monoesters
CHEMONTID:0001656	Acetals
CHEMONTID:0001657	Carboxylic acid imides
CHEMONTID:0001658	N-substituted carboxylic acid imides
CHEMONTID:0001659	N-unsubstituted carboxylic acid imides
CHEMONTID:0001660	Acyl cyanides
CHEMONTID:0001661	Secondary alcohols
CHEMONTID:0001662	Primary carboxylic acid amides
CHEMONTID:0001663	Secondary carboxylic acid amides
CHEMONTID:0001664	Tertiary carboxylic acid amides
CHEMONTID:0001665	Enolates
CHEMONTID:0001666	Thiohemiaminal derivatives
CHEMONTID:0001667	Carboxylic acid amide acetals
CHEMONTID:0001668	Organic diazonium salts
CHEMONTID:0001669	Long-chain ceramides
CHEMONTID:0001670	Tertiary alcohols
CHEMONTID:0001671	Physalins and derivatives
CHEMONTID:0001672	Organic thiocarbonic acid derivatives
CHEMONTID:0001673	Ketimines
CHEMONTID:0001674	Tropolones
CHEMONTID:0001675	Aminocyclitol glycosides
CHEMONTID:0001676	Phosphatidylinositol-4,5-bisphosphates
CHEMONTID:0001677	1-acyl-sn-glycero-3-phosphoethanolamines
CHEMONTID:0001678	Acyclic allenes
CHEMONTID:0001679	Cyclic allenes
CHEMONTID:0001680	2-acyl-sn-glycero-3-phosphoethanolamines
CHEMONTID:0001681	1-acyl-glycerol-3-phosphoserines
CHEMONTID:0001682	2-acyl-glycerol-3-phosphoserines
CHEMONTID:0001683	Monoacylglycerophosphates
CHEMONTID:0001684	1-acylglycerol-2-phosphates
CHEMONTID:0001685	1-acylglycerol-3-phosphates
CHEMONTID:0001686	Cucurbitacins
CHEMONTID:0001687	Cucurbitacin glycosides
CHEMONTID:0001688	2-acylglycerol-3-phosphates
CHEMONTID:0001689	Long-chain 1-acylglycerol-3-phosphates
CHEMONTID:0001690	Polysaccharide phosphates
CHEMONTID:0001691	Steroid esters
CHEMONTID:0001692	Sulfated steroids
CHEMONTID:0001693	Aminotriazines
CHEMONTID:0001694	Aminopyrazines
CHEMONTID:0001695	Oxetane amino acids and derivatives
CHEMONTID:0001696	Furanoid amino acids and derivatives
CHEMONTID:0001697	Pyranoid amino acids and derivatives
CHEMONTID:0001698	Bicyclic amino acids and derivatives
CHEMONTID:0001699	Glycopeptides and derivatives
CHEMONTID:0001700	Spirostanes and derivatives
CHEMONTID:0001701	Furostanes and derivatives
CHEMONTID:0001702	Furospirostanes and derivatives
CHEMONTID:0001703	Solanidines and derivatives
CHEMONTID:0001704	Spirosolanes and derivatives
CHEMONTID:0001705	Gingerols
CHEMONTID:0001706	Gingerdiols
CHEMONTID:0001707	Gingerdiones
CHEMONTID:0001708	Shogaols
CHEMONTID:0001709	Paradols
CHEMONTID:0001710	Hydrolyzable tannins
CHEMONTID:0001711	Phlorotannins
CHEMONTID:0001712	Complex tannins
CHEMONTID:0001713	Beta hydroxy acids and derivatives
CHEMONTID:0001714	Hydroxyquinolones
CHEMONTID:0001715	Hydroquinolines
CHEMONTID:0001716	Hydroquinolones
CHEMONTID:0001717	Oxaborine derivatives
CHEMONTID:0001718	Other glycerophosphoinositol phosphates
CHEMONTID:0001719	Diacylglycerophosphodiradylglycerols
CHEMONTID:0001720	Lysophosphatidylglycerophosphates
CHEMONTID:0001721	Phosphoglycosphingolipids
CHEMONTID:0001722	Fatty alcohol esters
CHEMONTID:0001723	Wax esters
CHEMONTID:0001724	Pyrethrins
CHEMONTID:0001725	Chloropropanol esters
CHEMONTID:0001726	3-MCPD monoesters
CHEMONTID:0001727	Diacylglycosylglycerophospholipids
CHEMONTID:0001728	Quinacridines
CHEMONTID:0001729	Oxepanes
CHEMONTID:0001730	Piperidinylpyridines
CHEMONTID:0001731	Dioxopiperazines
CHEMONTID:0001732	Thiodioxopiperazines
CHEMONTID:0001733	Pyrroloindoles
CHEMONTID:0001734	Pyrroloquinolines
CHEMONTID:0001735	Furanochromones
CHEMONTID:0001736	Benzochromones
CHEMONTID:0001737	Flavonoid C-glycosides
CHEMONTID:0001738	Aurone O-glycosides
CHEMONTID:0001739	Chalcone- and dihydrochalcone O-glycosides
CHEMONTID:0001740	Organic antimonates
CHEMONTID:0001741	Rotenoid O-glycosides
CHEMONTID:0001742	Coumaronochromones
CHEMONTID:0001743	Coumarin glycosides
CHEMONTID:0001744	Cyanolipids
CHEMONTID:0001745	Type 1 cyanolipids
CHEMONTID:0001746	Type 2 cyanolipids
CHEMONTID:0001747	Type 3 cyanolipids
CHEMONTID:0001748	Type 4 cyanolipids
CHEMONTID:0001749	Lysobisphosphatidic acids
CHEMONTID:0001750	Semilysobisphosphatidic acids
CHEMONTID:0001751	Bisphosphatidic acids
CHEMONTID:0001752	8,2'-cyclic purine nucleotides
CHEMONTID:0001753	Benzoylindoles
CHEMONTID:0001754	Simplexides
CHEMONTID:0001755	Diterpene glycosides
CHEMONTID:0001756	Steviol glycosides
CHEMONTID:0001757	Colensane and clerodane diterpenoids
CHEMONTID:0001758	Dalbergiones
CHEMONTID:0001759	Furanoflavones
